YEAR,MONTH,AREA_ID,AREA,DISTRICT_ID,DISTRICT,SITE,store,SITE_DES,LOCATION,PART_NO,PROD_DES,PART_STATUS,CL_BAL, SEL_CASH_PRICE ,PROD_FAMILY,PROD_FAMILY_DES,CAT -01 ,COMMODITY,COM_DES,BRAND_CODE,BRAND_DES, MRP , MOP , Current Discount % ,COMMENTS / DISCOUNT GUIDELINE
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,DISPLAY,FAN-P-1605H,SINGER PEDESTAL FAN 60W MADE IN MAL,L,1," 27,999.00 ",PF016,FANS,,2G406,SINGER PEDSTAL  FAN,BR044,SINGER," 27,999 "," 16,799 ", 0 ," EOL - Upto 40%. For damaged units, a discount of up to 70% may be considered based on the condition "
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,DISPLAY,FAN-P-SF1605HL,SINGER PEDASTAL FAN-SF1605HL,L,1," 24,999.00 ",PF016,FANS,,2G406,SINGER PEDSTAL  FAN,BR044,SINGER," 24,999 "," 12,499 ", 1 ," EOL - Upto 50%. For damaged units, a discount of up to 70% may be considered based on the condition "
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,REVERTS,FAN-WF1608R,SINGER BRANDED WALL FAN WITH REMOTE,A,1," 19,999.00 ",PF016,FANS,,2G404,SINGER WALL FAN,BR044,SINGER," 19,999 "," 15,999 ", 0 ," Do not offer discounts for this SKU, as it is an active SKU. For damaged units, a discount of up to 50% may be considered based on the condition "
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,NORMAL,GEO-242D-SV,SINGER GEO REFRIGERATOR - 225L - SI,A,2," 124,999.00 ",PF035,REFRIGERATORS,,2G188,SINGER REFRIGIRATOR,BR044,SINGER," 124,999 "," 99,999 ", 0 , Offer flat 25%  
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,NORMAL,H-BD-1054HVOS,"HITACHI - WASHING MACHINE, 10.5KG",A,1," 179,999.00 ",PF047,WASHING MACHINE,,2G395,HITACHI   AUTO WASHING MACHINE,BR019,HITACHI," 179,999 "," 159,999 ", 0 , EOL : additional 10% 
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,DISPLAY,H-CVW1600,HITACHI VACUUM CLEANER-CVW1600,A,1," 39,999.00 ",PF044,VACCUM CLEANERS,,2G492,HITACHI VACCUM CLEANERS,BR019,HITACHI," 39,999 "," 34,999 ", 0 , -   
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,DISPLAY,HFPA-MUSICBOX-BLC,HIFUTURE PORTABLE AUDIO MUSIC BOX - BLC,A,1," 49,990.00 ",PF002,AUDIOS,,2GB09,HIFUTURE AUDIOS,BR298,HIFUTURE," 49,990 "," 37,492 ", 0 ," Rs.30,000/- Special Price "
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,NORMAL,HFPA-MUSICBOX-BLC,HIFUTURE PORTABLE AUDIO MUSIC BOX - BLC,A,1," 49,990.00 ",PF002,AUDIOS,,2GB09,HIFUTURE AUDIOS,BR298,HIFUTURE," 49,990 "," 37,492 ", 0 ," Rs.30,000/- Special Price "
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,NORMAL,HFPA-MUSICBOX-SLV,HIFUTURE PORTABLE AUDIO MUSIC BOX - SILVER,A,1," 49,990.00 ",PF002,AUDIOS,,2GB09,HIFUTURE AUDIOS,BR298,HIFUTURE," 49,990 "," 37,492 ", 0 ," Rs.30,000/- Special Price "
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,NORMAL,KA-KT-212F,SINGER POP UP TOASTER,A,1," 7,399.00 ",PF024,KITCHENAPP -SMALL KITCHEN APPLIANCE,,2G193,SINGER KITCHEN APPLIANCES,BR044,SINGER," 7,399 "," 2,960 ", 1 , Provide additional 30% for display units and total upto 80% for damage units 
